persian text nalysis,polarity
"در آغاز سال، موج سوم کووید-19 مشکلات شدیدی را برای اقتصاد افغانستان ایجاد کرد و کار برای بسیاری از تاجران متوقف شد.",-1
اقتصاد مناطق روستایی کشور که متکی به کشاورزی بود به شدت تحت تاثیر خشکسالی قرار گرفت و تولید گندم کشور در سال جاری یک میلیون تن کاهش یافت.,-1
"در همین حال، به دلیل تورم، ده‌ها کارخانه تعطیل شدند، زیرا با کمبود مواد اولیه مواجه بودند و فقط می‌توانستند از بانک‌ها برداشت محدودی برای پرداخت مواد و یا پرداخت حقوق کارمندان انجام دهند.",-1
"وقتی تولید کاهش می یابد، کل اقتصاد کشور را تحت تأثیر قرار می دهد. حسیب الله موحد، معاون سازمان مرکزی احصائیه گفت: واضح است که کارمندان شغل خود را از دست می دهند، درآمد کاهش می یابد و تقاضا کاهش می یابد و باعث رکود اقتصادی می شود .",-1
"با وجود مشکلات و چالش ها، وزارت مالیه افغانستان گزارش داد که برای اولین بار بودجۀ این کشور بدون تکیه بر کمک های خارجی تهیه شده است و بودجه عادی از درآمدهای داخلی تأمین می شود.",1
"سازمان ملل متحد با بریتانیا، آلمان و قطر در 31 مارس برنامه صندوق افغانستان را برگزار خواهند کرد",1
"سازمان ملل متحد به همراه دولت های بریتانیا، آلمان و قطر میزبان کنفرانس بین المللی تعهد در حمایت از واکنش بشردوستانه در افغانستان در 31 مارس خواهند بود.",1
دفتر هماهنگی امور بشردوستانه سازمان ملل متحد با انتشار بیانیه ای اعلام کرد که مردم افغانستان با ناامنی غذایی و بحران سوء تغذیه در افغانستان روبرو هستند.,-1
"در همین حال، مقامات دولت موقت از برگزاری این نشست در پایان ماه مارچ استقبال می کنند و می گویند که انتظار می رود این نشست ها بر بحران افغانستان تأثیر مثبت بگذارد.",1
دوکتور کریمه حامد فاریابی بر فراهم شدن سرپناه و ارسال کمک‌های اولیه برای بیجا شده‌گان جنگ‌های اخیر تاکید ورزید.,
وزارت اقتصاد را دربدر کردی,
وییی خدایی خبر نی وزارت اقتصاد هم داشتیم !,
وزارت اقتصاد را دربدر کردی,
وزیر بیچاره فقط برای کسانیکه بخاطر دزدی مقرر کرده خوب کومک میکند فقط چند روز دگه خانه نشین بخیر,
کمک های جهانی کجا شد وزارت بی اقتصاد,
همی وزیر اقتصاد با کجا پت شده ما شکایت داریم,
موفق باشی عزیزم با این کار نیک ات,
خو,
وقت وزیر صاحب بیچاره هم کم کم به طرف تمام شدن روان است ...بخیر,
حرکت و کار نیک آرزوی موفقیت دارم شما با جمله بزرگان صحت سلامت باشین جناب وزیر صاحب,
فرصت کاری در افغانستان محدود و بیکاری افزایش یافته است,
افغانستان به گونۀ بی‌سابقه افزایش یافته و نیز فرصت‌های کاری در این کشور محدود و میزان بیکاری رو به افزایش است.,
بانک جهانی افزوده است که میزان فرصت‌های کاری در سکتور دولتی به دلیل کاهش در خدمات امنیتی و مشاغل این ادارات افت چشم‌گیر داشته است.,
مردم به دلیل نبود کار دست به کار های غیر قانونی میزند.,
دزدی زیاد شده در تمام کشور,
"بانک جهانی افزوده که بسیاری خانواده‌ها در افغانستان با کاهش زیادی در کیفیت و کمیت موادغذایی مصرفی مواجه اند که این وضعیت با گذشت هر روز، رو به افزایش است.",
اتحادیه اروپا یک محموله کمک بشردوستانه به افغانستان فرستاد,
تحادیه اروپا پیش از این هم کمک‌های بشردوستانه شامل دارو و واکسین کرونا به افغانستان فرستاده بود.,
به بهانه کمک چی بلا هایی سر مردم میاورند.این را میگن استخبارات همراه چند بسته کمک فریب میدهند,
"سفارت افغانستان در واشنگتن که به تازگی تعطیل شده، اعلام کرده که اموال این سفارت‌ و قنسولگری‌های این کشور در نیویارک و لس‌آنجلس به وزارت امور خارجه‌ی امریکا سپرده شده است.",
"در این بیانیه آمده است که طی ماه‌های اخیر سفارت و سرکنسولگری‌های افغانستان به‌دلیل مسدودشدن حساب‌های بانکی خود با چالش‌های عملیاتی فزاینده و محدودیت شدید منابع مواجه شدند. با این حال، نمایندگی‌های دیپلماتیک افغانستان از وزارت امور خارجه‌ی امریکا کمک خواسته بودند.",
این دیگر چی بدعت است.,
"همو دیوار معروفش که سرمایه ملی افغانستان بود را پس افغانستان روان کنن، دیگه ش ره خیره.",
بهترین کاری که هر کشوری باید چنین بکند... در غیر این مانند ترکیه طی معاملات کثیف سفارت و کنسولگری ها به ط ا ل ب بی دین سپرده خواد شد,
مو طلا ها ره رای کنید بس بدبخت ها,
چيزي مانده بود از پيش دزدان كه تسليم دادند يا ديوار هاره تسليم دادند,
"پس دیوار که خشت هایش از طلا بود چه میشه،؟؟",
همرای دیوار چند ملیون دالری اش ؟,
زنده باد دوستی افغانستان با آمریکا,
متاسفانه افغانستان رسميات جهاني خود را از دست داده,
ديگر افغانستان یک کشور دارای سیادت سیاسی نیست معامله دولت ها با افغانستان از سطح فلسطین هم کرده پائین خواهد بود ؟,
خوب شد چون سفیر خانم کم دزدی نکرده بود,
کار نیکی شده است ! ما مردم افغانستان هم رژیم طالبان و حکومت خود خوانده آنها را به رسمیت نمی شناسیم.,
"تا وقتی که یک حکومت دموکراتیک ، همه شمول و بر اساس خواسته های اکثریت مردم تشکیل نشود هیچگاه ما این حکومت قبیله ای را قبول نخواهیم کرد.",
کدام دارایی هم نبود به جز چند تا قالین کهنه و یک موبل و فرنیچر استفاده شدگی سفیره صاحب چنان تلاشی کرده بود که هیچ چیز باقی نمانده برای کسی دیگر. کارمندان سفارت خو اصلا انسانیت را یاد نداشتند تمام سفارت از ستانکزی و احمدزی پر بود مدیر بخش پاسپورت با وجود اینکه ستانکزی تخلص میکرد خط پشتو را خوانده نمیتوانست.,
بهتر بود اینجا را سفارت لوگر نامگذاری میکردند تا سفارت افغانستان.,
زیاد خوردین بس است,
,
,
,
,
,
,
,
,
وزارت دولت در امور رسیده‌گی حوادث برای نزدیک به هزار خانواده نیازمند مواد غذایی توزیع کرد,
زمینه کار و درامد دایم ملت را فراهم کنید نه دست گدایی و فقر.,
غذای موقت برای زنده ماندن است نه زندگی کردن.,
